name,category,archetype,sku,price,cost,stock,low_stock,unit,description,image_url
Red Ankara fabric,Fabric,packaged,KOLA-001,4500,2400,42,5,/yd,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/red-ankara-fabric/900/900
Blue lace fabric,Fabric,packaged,KOLA-002,6200,3600,18,5,/yd,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/blue-lace-fabric/900/900
Green Ankara fabric,Fabric,packaged,KOLA-003,4500,2400,27,5,/yd,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/green-ankara-fabric/900/900
Gold sequin lace,Fabric,packaged,KOLA-004,12500,7800,9,5,/yd,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/gold-sequin-lace/900/900
White Swiss voile,Fabric,packaged,KOLA-005,9800,6100,14,5,/yd,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/white-swiss-voile/900/900
Aso-oke bundle (5yd),Fabric,packaged,KOLA-006,38000,24000,6,5,,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/aso-oke-bundle-5yd/900/900
Aso-ebi bundle (10yd),Fabric,packaged,KOLA-007,42000,27500,3,5,,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/aso-ebi-bundle-10yd/900/900
Adire indigo fabric,Fabric,packaged,KOLA-008,5200,2900,31,5,/yd,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/adire-indigo-fabric/900/900
Kampala print fabric,Fabric,packaged,KOLA-009,3800,2100,48,5,/yd,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/kampala-print-fabric/900/900
Chiffon lining,Fabric,packaged,KOLA-010,2200,1200,60,5,/yd,Sold by the yard. Colour holds after repeated washing; ask for a cutting sample before a bulk order.,https://picsum.photos/seed/chiffon-lining/900/900
Ready-made gown,Ready-made,variants,KOLA-011,18500,11000,6,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/ready-made-gown/900/900
Ankara midi dress,Ready-made,variants,KOLA-012,15500,9200,11,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/ankara-midi-dress/900/900
Two-piece Ankara set,Ready-made,variants,KOLA-013,22000,13500,8,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/two-piece-ankara-set/900/900
Lace boubou,Ready-made,variants,KOLA-014,34000,21000,4,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/lace-boubou/900/900
Kaftan (men's),Ready-made,variants,KOLA-015,26500,16000,7,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/kaftan-mens/900/900
Agbada set (3-piece),Ready-made,variants,KOLA-016,78000,49000,2,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/agbada-set-3-piece/900/900
Senator wear set,Ready-made,variants,KOLA-017,32000,19500,9,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/senator-wear-set/900/900
Ankara jumpsuit,Ready-made,variants,KOLA-018,19800,12000,5,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/ankara-jumpsuit/900/900
Peplum blouse,Ready-made,variants,KOLA-019,12500,7200,14,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/peplum-blouse/900/900
Wrap skirt,Ready-made,variants,KOLA-020,9500,5400,16,5,,"Tailored and lined, ready to wear. Sizes run true to Nigerian standard sizing.",https://picsum.photos/seed/wrap-skirt/900/900
Beaded headwrap,Accessories,variants,KOLA-021,2500,1100,0,5,,Handmade finish. Small variations between pieces are normal and not a defect.,https://picsum.photos/seed/beaded-headwrap/900/900
